DESCRIPTION_item1,item2,DESCRIPTION_item2,antecedent support,consequent support,item2_count,Count_validate_item2,rule_support,Combined_Baskets,confidence,lift,TOTALQTY_item1,TOTALADJREV_item1,AUR_item1,TOTALQTY_item2,TOTALADJREV_item2,dept_item2,AUR_item2,Combined_ADJREV,ValueAdded_fromitem2,ExpectedVA_fromitem2
Salmon,1326,BANANAS CV,0.285994592,0.092641142,22474,22474,0.034382832,8341,0.120221966,1.297716791,11901.97778,129734.5489,10.90025131,39949.98,23574.83,5,0.590108681,153309.3789,810.5694212,2834.21241
Salmon,1333,LEMONS CV,0.285994592,0.060006101,14557,14557,0.030598701,7423,0.106990487,1.782993492,11901.97778,129734.5489,10.90025131,27424,23470.66,4,0.855843786,153205.2089,718.1717006,2511.137348
FiletMignon,1340,POTATOES CV RUSSET,0.263875148,0.071816053,17422,17422,0.029526942,7163,0.111897397,1.558111207,32963.67,584684.9525,17.73725294,38885.13,57962.29,4,1.490602963,642647.2425,1711.449196,6485.829401
Salmon,25,AVOCADOS CV HASS PRE-CONDITIONED,0.285994592,0.06463115,15679,15679,0.026785714,6498,0.093658115,1.44911725,11901.97778,129734.5489,10.90025131,32795,65960.34,12,2.011292575,195694.8889,1766.794821,6177.721091
Salmon,1346,ASPARAGUS CV,0.285994592,0.069404597,16837,16837,0.022865552,5547,0.079950995,1.151955316,11901.97778,129734.5489,10.90025131,19316.95,65618.8,5,3.396954488,195353.3489,1500.410086,5246.288319
FiletMignon,1326,BANANAS CV,0.263875148,0.092641142,22474,22474,0.020833333,5054,0.078951479,0.852229122,32963.67,584684.9525,17.73725294,39949.98,23574.83,5,0.590108681,608259.7825,491.1422917,1861.267704
FiletMignon,1346,ASPARAGUS CV,0.263875148,0.069404597,16837,16837,0.019720354,4784,0.074733652,1.07678245,32963.67,584684.9525,17.73725294,19316.95,65618.8,5,3.396954488,650303.7525,1294.025933,4903.932565
RibEye,1340,POTATOES CV RUSSET,0.187161984,0.071816053,17422,17422,0.019571956,4748,0.104572284,1.456112938,17746.706,328282.894,18.49824379,38885.13,57962.29,4,1.490602963,386245.184,1134.435401,6061.249073
NYStrip,1340,POTATOES CV RUSSET,0.175261344,0.071816053,17422,17422,0.016096986,3904,0.091845615,1.278900893,20667.6425,291081.83,14.08393967,38885.13,57962.29,4,1.490602963,349044.12,933.018164,5323.582154
Salmon,1421,BROCCOLI CV CROWNS,0.285994592,0.038232918,9275,9275,0.016064009,3896,0.056168925,1.469124722,11901.97778,129734.5489,10.90025131,10123.36,25629.34,5,2.531702913,155363.8889,411.7099409,1439.57247
Salmon,182,BERRIES CV STRAWBERRIES 1LB,0.285994592,0.042025293,10195,10195,0.015206602,3689,0.053170943,1.26521288,11901.97778,129734.5489,10.90025131,11286,55911.13,12,4.954025341,185645.6789,850.218303,2972.847486
NYStrip,1326,BANANAS CV,0.175261344,0.092641142,22474,22474,0.015157136,3677,0.086483054,0.933527498,20667.6425,291081.83,14.08393967,39949.98,23574.83,5,0.590108681,314656.66,357.3269107,2038.823292
CrabCakes,1326,BANANAS CV,0.159098404,0.092641142,22474,22474,0.015025228,3645,0.094439838,1.019415736,46943.165,365938.355,7.795349014,39949.98,23574.83,5,0.590108681,389513.185,354.217185,2226.403134
FiletMignon,25,AVOCADOS CV HASS PRE-CONDITIONED,0.263875148,0.06463115,15679,15679,0.014600646,3542,0.055331646,0.856114211,32963.67,584684.9525,17.73725294,32795,65960.34,12,2.011292575,650645.2925,963.0635976,3649.694196
RibEye,1326,BANANAS CV,0.187161984,0.092641142,22474,22474,0.014134844,3429,0.07552198,0.815209944,17746.706,328282.894,18.49824379,39949.98,23574.83,5,0.590108681,351857.724,333.226537,1780.41785
RibEye,1346,ASPARAGUS CV,0.187161984,0.069404597,16837,16837,0.013458812,3265,0.071909964,1.036097996,17746.706,328282.894,18.49824379,19316.95,65618.8,5,3.396954488,393901.694,883.1510602,4718.645538
Salmon,1353,POTATOES CV SWEET,0.285994592,0.036349096,8818,8818,0.013203238,3203,0.046166042,1.270073994,11901.97778,129734.5489,10.90025131,15087.7,19731.85,5,1.307810336,149466.3989,260.5243188,910.9414176
NYStrip,1346,ASPARAGUS CV,0.175261344,0.069404597,16837,16837,0.011504914,2791,0.065644331,0.945821074,20667.6425,291081.83,14.08393967,19316.95,65618.8,5,3.396954488,356700.63,754.9386245,4307.502194
Salmon,456361,ABF BONELESS CHICKEN BREAST,0.285994592,0.033397639,8102,8102,0.011043233,2679,0.038613433,1.15617255,11901.97778,129734.5489,10.90025131,19789.89,93130.22,12,4.705949351,222864.7689,1028.458727,3596.077535
FiletMignon,1333,LEMONS CV,0.263875148,0.060006101,14557,14557,0.010936057,2653,0.041444059,0.690664092,32963.67,584684.9525,17.73725294,27424,23470.66,4,0.855843786,608155.6125,256.6764814,972.7194204
Salmon,1332,LIMES CV,0.285994592,0.030573968,7417,7417,0.010779416,2615,0.037690977,1.232780039,11901.97778,129734.5489,10.90025131,18821,12939.99,7,0.687529356,142674.5389,139.4855306,487.7208684
FiletMignon,3173410,4CT FRENCH BUTTER CROISSANTS,0.263875148,0.040129106,9735,9735,0.010676362,2590,0.040459899,1.008243237,32963.67,584684.9525,17.73725294,10130.72,53959.22,12,5.32629665,638644.1725,576.0881637,2183.184613
FiletMignon,182,BERRIES CV STRAWBERRIES 1LB,0.263875148,0.042025293,10195,10195,0.010589797,2569,0.040131846,0.954945054,32963.67,584684.9525,17.73725294,11286,55911.13,12,4.954025341,640596.0825,592.0875089,2243.816868
Salmon,3173410,4CT FRENCH BUTTER CROISSANTS,0.285994592,0.040129106,9735,9735,0.010482621,2543,0.036653214,0.913382284,11901.97778,129734.5489,10.90025131,10130.72,53959.22,12,5.32629665,183693.7689,565.6340541,1977.778848
Salmon,1340,POTATOES CV RUSSET,0.285994592,0.071816053,17422,17422,0.010379567,2518,0.03629288,0.505358874,11901.97778,129734.5489,10.90025131,38885.13,57962.29,4,1.490602963,187696.8389,601.6234922,2103.618423
